ol,stock,species,long,lat,longprj,latprj
40,WCVI - Wild,chinook,-126.1022889,49.52293135,973202.2083,973202.2083
41,Johnstone Strait area including mainland inlets,chinook,-125.720607,50.86178574,985768.5133,985768.5133
42,Georgia Strait Fall (wild and small hatchery operations),chinook,-122.7185583,49.09302595,1229010.83,1229010.83
43,Georgia Strait Fall (large hatchery operations),chinook,-125.0864513,49.739743,1045268.788,1045268.788
44,Georgia Strait Spring and Summer,chinook,-124.2234906,49.13375131,1116969.134,1116969.134
45,Areas 7 and 8,chinook,-126.2536595,52.30140883,932223.4051,932223.4051
46,Areas 9 and 10,chinook,-127.3366174,51.23168741,866987.1277,866987.1277
47,Coastal Areas 3 to 6,chinook,-128.3099069,52.9819144,785270.8794,785270.8794
48,Nass,chinook,-129.0938289,56.02007961,713995.3397,713995.3397
49,Haida Gwaii,chinook,-132.3305059,53.52910609,511387.3361,511387.3361
50,Skeena,chinook,-127.5007728,54.82783293,824266.8426,824266.8426
51,Alsek,chinook,-137.3567854,59.72654754,226460.8785,226460.8785
52,Stikine,chinook,-131.7198116,57.4120489,547143.6127,547143.6127
53,Taku,chinook,-131.6468704,58.75736824,549543.5266,549543.5266
54,Yukon,chinook,-132.3989519,60.23635658,505606.3336,505606.3336
96,Fraser River Spring Run 42,chinook,-121.1099966,50.14338452,1327292.706,1327292.706
97,Fraser River Spring Run 52,chinook,-121.8036366,50.69973403,1267226.786,1267226.786
98,Fraser River Summer Run 52,chinook,-122.5252501,50.02265805,1227468.022,1227468.022
99,Fraser River Summer Run 41,chinook,-119.5,50.26256217,1477777.634,1477777.634
100,Fraser River Fall Run 41,chinook,-121.2847125,49.30085553,1330859.587,1330859.587
39,WCVI - Hatchery,chinook,-125.2229329,49.01963987,1044234.723,1044234.723
42,Johnstone Strait Fall (wild and small hatchery operations),chinook,-127.048734,50.47611,894478.0764,894478.0764
